# Wave/freq Total
3.759186203e+00  6.2776520e-98
3.759211264e+00 5.0736895e-102
3.759236325e+00 2.4923600e-103
3.759261387e+00 5.1743911e-106
3.759286449e+00 3.0778513e-109
3.759311510e+00 1.5859999e-113
3.759336573e+00 8.5073561e-119
3.759361635e+00 3.2432504e-125
3.759386697e+00 5.0455497e-133
3.759411760e+00 1.4341418e-142
3.759436823e+00 2.0068307e-154
3.759461885e+00 2.0467349e-153
3.759486949e+00 2.8846553e-149
3.759512012e+00 4.3495342e-146
3.759537075e+00 4.6584743e-145
3.759562139e+00 7.4220305e-141
3.759587202e+00 9.1248184e-139
3.759612266e+00 2.3822633e-137
3.759637330e+00 1.9157349e-136
3.759662395e+00 6.8684329e-136
3.759687459e+00 1.9849142e-135
3.759712524e+00 5.2515410e-135
3.759737588e+00 1.3156157e-134
3.759762653e+00 3.1249393e-134
3.759787718e+00 7.0378253e-134
3.759812784e+00 1.5028983e-133
3.759837849e+00 3.0431620e-133
3.759862915e+00 5.8429914e-133
3.759887981e+00 1.0638261e-132
3.759913046e+00 1.8367153e-132
3.759938113e+00 3.0071796e-132
3.759963179e+00 4.6691045e-132
3.759988245e+00 6.8750308e-132
3.760013312e+00 9.6004654e-132
3.760038379e+00 1.2714397e-131
3.760063445e+00 1.5969591e-131
3.760088513e+00 1.9023669e-131
3.760113580e+00 2.1493365e-131
3.760138647e+00 2.3031932e-131
3.760163715e+00 2.3408704e-131
3.760188783e+00 2.2565737e-131
3.760213850e+00 2.0632403e-131
3.760238919e+00 1.7892868e-131
3.760263987e+00 1.4717717e-131
3.760289055e+00 1.1482344e-131
3.760314124e+00 8.4966596e-132
3.760339193e+00 5.9633481e-132
3.760364262e+00 3.9696469e-132
3.760389331e+00 2.5062690e-132
3.760414400e+00 1.5007585e-132
3.760439469e+00 8.5230191e-133
3.760464539e+00 4.5905727e-133
3.760489609e+00 2.3448845e-133
3.760514679e+00 1.1359178e-133
3.760539749e+00 5.2183387e-134
3.760564819e+00 2.2733490e-134
3.760589889e+00 9.3915334e-135
3.760614960e+00 3.6787296e-135
3.760640031e+00 1.3597241e-135
3.760665102e+00 4.4018029e-136
3.760690173e+00 1.0521918e-136
3.760715244e+00 8.7127936e-138
3.760740316e+00 1.7909939e-139
3.760765387e+00 6.7937974e-142
3.760790459e+00 3.6622848e-145
3.760815531e+00 2.1010887e-149
3.760840603e+00 8.7766653e-155
3.760865675e+00 4.1205263e-158
3.760890748e+00 3.4767700e-158
3.760915820e+00 2.7810749e-158
3.760940893e+00 2.1080916e-158
3.760965966e+00 1.5142835e-158
3.760991039e+00 1.0307815e-158
3.761016112e+00 6.6491873e-159
3.761041186e+00 4.0645628e-159
