 52 4071.071929 1.492E-24 4.007E-01.04960.053  928.58230.61-.005454              2              0                    P 22      475663 5 8 5 5 3 8    86.0   90.0
 51 4072.407736 4.397E-26 3.928E-01.04130.044 2690.99130.74-.005831              2              0                    P 37      475623 5 8 5 5 2 8    73.0   75.0
 52 4072.607076 2.569E-27 1.325E+00.05770.063 2336.42240.79-.004939              3              1                    P 11      475683 5 8 5 5 2 8    42.0   46.0
 52 4072.832478 1.368E-31 2.206E+00.07570.081 4170.42960.78-.003598              4              2                    R  1      465683 5 8 5 5 2 8    10.0    6.0
 53 4073.602143 5.288E-25 4.041E-01.05100.054  768.03310.71-.005392              2              0                    P 20      475673 5 8 5 5 3 8    39.0   41.0
 53 4073.658270 5.570E-28 1.348E+00.05950.065 2255.40100.79-.004746              3              1                    P  9      475683 5 8 5 5 2 8    17.0   19.0
 51 4074.561902 8.410E-28 1.259E+00.04600.049 3686.11980.70-.005614              3              1                    P 28      475663 5 8 5 5 2 8    55.0   57.0
 51 4075.889213 3.090E-30 2.720E+00.05240.056 4904.87990.75-.005323              4              2                    P 18      465683 5 8 5 5 2 8    35.0   37.0
 52 4076.090908 2.118E-24 4.042E-01.05030.053  847.94970.71-.005424              2              0                    P 21      475663 5 8 5 5 3 8    82.0   86.0
 52 4076.246302 1.992E-31 2.381E+00.07120.077 4177.65050.77-.003625              4              2                    R  2      465683 5 8 5 5 2 8    14.0   10.0
 52 4076.897165 2.853E-27 1.342E+00.05860.064 2296.37670.79-.004850              3              1                    P 10      475683 5 8 5 5 2 8    38.0   42.0
 53 4077.803307 5.835E-28 1.368E+00.06060.066 2222.75230.79-.004623              3              1                    P  8      475683 5 8 5 5 2 8    15.0   17.0
 53 4078.474869 7.204E-25 4.078E-01.05170.055  694.97140.70-.005359              2              0                    P 19      475683 5 8 5 5 3 8    37.0   39.0
 51 4078.675491 8.532E-26 3.961E-01.04170.044 2549.96200.74-.005807              2              0                    P 36      475623 5 8 5 5 2 8    71.0   73.0
 52 4079.594301 2.535E-31 2.487E+00.06770.074 4188.48140.76-.003650              4              2                    R  3      465683 5 8 5 5 2 8    18.0   14.0
 51 4080.206608 1.365E-27 1.270E+00.04650.049 3579.97510.70-.005589              3              1                    P 27      475663 5 8 5 5 2 8    53.0   55.0
 51 4080.831756 4.079E-30 2.746E+00.05310.057 4837.07170.75-.005284              4              2                    P 17      465683 5 8 5 5 2 8    33.0   35.0
 52 4081.047272 2.949E-24 4.079E-01.05100.054  770.96190.71-.005392              2              0                    P 20      475673 5 8 5 5 3 8    78.0   82.0
 52 4081.123170 3.081E-27 1.360E+00.05950.065 2259.96680.79-.004746              3              1                    P  9      475683 5 8 5 5 2 8    34.0   38.0
 53 4081.884357 5.912E-28 1.392E+00.06180.068 2193.72830.78-.004478              3              1                    P  7      475683 5 8 5 5 2 8    13.0   15.0
 52 4082.876343 2.971E-31 2.563E+00.06510.071 4202.92200.76-.003678              4              2                    R  4      465683 5 8 5 5 2 8    22.0   18.0
 53 4083.285066 9.616E-25 4.116E-01.05240.056  625.54630.73-.005323              2              0                    P 18      475683 5 8 5 5 3 8    35.0   37.0
 51 4084.878494 1.625E-25 3.994E-01.04220.045 2412.68010.74-.005784              2              0                    P 35      475623 5 8 5 5 2 8    69.0   71.0
 52 4085.284955 3.230E-27 1.381E+00.06060.066 2227.19410.79-.004623              3              1                    P  8      475683 5 8 5 5 2 8    30.0   34.0
 51 4085.706792 5.270E-30 2.772E+00.05380.058 4773.01610.76-.005241              4              2                    P 16      465683 5 8 5 5 2 8    31.0   33.0
 51 4085.785262 2.174E-27 1.281E+00.04710.050 3477.58510.71-.005563              3              1                    P 26      475663 5 8 5 5 2 8    51.0   53.0
 53 4085.901286 5.766E-28 1.420E+00.06320.069 2168.32990.77-.004303              3              1                    P  6      475683 5 8 5 5 2 8    11.0   13.0
 52 4085.940887 4.022E-24 4.116E-01.05170.055  697.62190.68-.005359              2              0                    P 19      475683 5 8 5 5 3 8    74.0   78.0
 52 4086.092292 3.284E-31 2.622E+00.06320.069 4220.97180.77-.003714              4              2                    R  5      465683 5 8 5 5 2 8    26.0   22.0
 53 4088.032603 1.257E-24 4.155E-01.05310.057  559.76050.73-.005284              2              0                    P 17      475683 5 8 5 5 3 8    33.0   35.0
 52 4089.242014 3.469E-31 2.670E+00.06180.068 4242.63000.78-.003759              4              2                    R  6      465683 5 8 5 5 2 8    30.0   26.0
 52 4089.382388 3.275E-27 1.405E+00.06180.068 2198.05970.78-.004478              3              1                    P  7      475683 5 8 5 5 2 8    26.0   30.0
 53 4089.853961 5.371E-28 1.458E+00.06510.071 2146.55810.76-.004091              3              1                    P  5      475683 5 8 5 5 2 8     9.0   11.0
 51 4090.514176 6.659E-30 2.800E+00.05450.059 4712.71560.76-.005194              4              2                    P 15      465683 5 8 5 5 2 8    29.0   31.0
 52 4090.771620 5.376E-24 4.154E-01.05240.056  627.93240.71-.005323              2              0                    P 18      475683 5 8 5 5 3 8    70.0   74.0
 51 4091.016602 3.035E-25 4.028E-01.04270.045 2279.15110.74-.005760              2              0                    P 34      475623 5 8 5 5 2 8    67.0   69.0
 51 4091.297718 3.394E-27 1.292E+00.04770.051 3378.95370.71-.005537              3              1                    P 25      475663 5 8 5 5 2 8    49.0   51.0
 52 4092.325375 3.527E-31 2.713E+00.06060.066 4267.89590.79-.003813              4              2                    R  7      465683 5 8 5 5 2 8    34.0   30.0
 53 4092.717346 1.609E-24 4.195E-01.05380.058  497.61620.75-.005241              2              0                    P 16      475683 5 8 5 5 3 8    31.0   33.0
